D15	0.83
B16	Profunditat de penetròmetre
C16	Colpeig DPSH
D16	Colpeig NB
E16	MOSTRA
F16	N.F.
G16	Nivells
B17	0
C17	0
D17	0
B18	-0.2
C18	0
D18	0
B19	-0.4
C19	32
D19	38.55421686746988
B20	-0.6
C20	36
D20	43.373493975903614
B21	-0.8
C21	28
D21	33.734939759036145
B22	-1
C22	39
D22	46.98795180722892
E22	SPT-1
B23	-1.2
C23	37
D23	44.57831325301205
E23	0,6 a 1,2
B24	-1.4
C24	32
D24	38.55421686746988
E24	16/20/20/24
B25	-1.6
C25	32
D25	38.55421686746988
B26	-1.8
C26	60
D26	72.28915662650603
B27	-2
C27	49
D27	59.036144578313255
B28	-2.2
C28	34
D28	40.96385542168675
B29	-2.4
C29	25
D29	30.120481927710845
B30	-2.6
C30	36
D30	43.373493975903614
B31	-2.8
C31	47
D31	56.626506024096386
B32	-3
C32	80
D32	96.3855421686747
B33	-3.2
C33	100
D33	120.48192771084338
B34	-3.4
B35	-3.6
B36	-3.8
B37	-4
B38	-4.2
B39	-4.4
B40	-4.6
B41	-4.8
B42	-5
B43	-5.2
B44	-5.4
B45	-5.6
B46	-5.8
B47	-6
B48	-6.2
B49	-6.4
B50	-6.6
B51	-6.8
B52	-7
B53	-7.2
B54	-7.4
B55	-7.6
B56	-7.8
B57	-8
B58	-8.2
B59	-8.4
B60	-8.6
B61	-8.8
B62	-9
B63	-9.2
B64	-9.4
B65	-9.6
B66	-9.8
B67	-10
B68	-10.2
B69	-10.4
B70	-10.6
B71	-10.8
B72	-11
B73	-11.2
B74	-11.4
B75	-11.6
B76	-11.8
B77	-12
C79	Nivell 1
B80	Rebuig  a - 3,13  m
