
## castellar/viab
| taula | MATCH | CLOSE | MISMATCH | files ±extra/−absents | detall no-MATCH |
|---|--:|--:|--:|---|---|
| plantes | 2 | 1 | 3 |  | fila0[1] MISM «»↔«Pb+1Pp»; fila1[0] CLOS «Superfície de la parcel·la segons plànols cadastrals  (m2)»↔«Superfície de la parcel·la (m2)»; fila1[1] MISM «440»↔«1.284»; fila2[1] MISM «»↔«120 m2» |
| cte_edificacio | 3 | 0 | 1 |  | fila1[1] MISM «T-2»↔«T-1» |
| dpsh | 12 | 0 | 8 |  | p-1[1] MISM «+570.90»↔«-4.0»; p-1[2] MISM «-1.00»↔«-1.08»; p-2[1] MISM «+570.90»↔«-4.20»; p-2[2] MISM «-0.40»↔«-0.48»; p-3[1] MISM «+570.90»↔«-4.0»; p-3[2] MISM «-0.60»↔«-0.76»; p-4[1] MISM «+570.90»↔«-4.0»; p-4[2] MISM «-1.40»↔«-1.55» |
| sondeig | 3 | 0 | 2 |  | s-1[1] MISM «+570.90»↔«-4.20»; s-1[3] MISM «0/--»↔«1/0» |
| spt_ma | 0 | 0 | 5 |  | fila0[0] MISM «»↔«SPT-1»; fila0[1] MISM «»↔«S-1»; fila0[2] MISM «»↔«-1.00 a -1.20»; fila0[3] MISM «»↔«R»; fila0[4] MISM «»↔«Limolites i bretxes» |
| mostra_lab | 1 | 4 | 0 |  | fila0[0] CLOS «Mostra :»↔«Mostra : SPT-1»; fila0[1] CLOS «Punt:»↔«Punt: S-1»; fila0[2] CLOS «Profunditat: -1.0 a -1.2»↔«Profunditat:  -1.00  a -1.20 m»; fila1[1] CLOS «Contingut en sulfats solubles UNE 83963:2008»↔«1 assaig de contingut en sulfats UNE 83963 : 2008» |
| soil_levels | 0 | 1 | 1 |  | 1r[0] CLOS «1er nivell.»↔«1er nivell»; 1r[1] MISM «Roca / material dur (roca pochimada / fora pochimada)»↔«Bretxes amb intercalacions de lutites i gresos vermells. Substrat rocós.» |
| permeabilitat | 1 | 0 | 2 |  | 1r[1] MISM «10^-3 a 10^-5»↔«10⁻5 – 10⁻7»; 1r[2] MISM «Roca / material dur (roca pochimada / fora pochimada)»↔«Bretxes amb intercalacions de lutites i gresos vermells.» |
| sulfats | 3 | 1 | 0 |  | 1r[2] CLOS «---»↔«--» |
| sismica | 1 | 1 | 2 |  | 1[1] CLOS «Tipus III»↔«Tipus II»; 1[2] MISM «1.60»↔«1.15*»; 1[3] MISM «1.6»↔«1.3» |
| geotecnica | 3 | 2 | 2 |  | 1r[0] CLOS «1er nivell. Roca / material dur (roca pochimada / fora pochimada).»↔«1er nivell: Bretxes amb intercalacions de lutites i gresos»; 1r[1] MISM «27-R»↔«17-R»; 1r[2] MISM «--»↔«R»; 1r[6] CLOS «500»↔«>500» |

**castellar/viab: 29 MATCH · 10 CLOSE · 26 MISMATCH · 0 files extra · 0 files absents → 60 % (M+C)/comparables**
