
## bell-lloc/8b
| taula | MATCH | CLOSE | MISMATCH | files ±extra/−absents | detall no-MATCH |
|---|--:|--:|--:|---|---|
| plantes | 3 | 0 | 3 |  | fila0[1] MISM «»↔«Pb+1Pp»; fila1[1] MISM «607»↔«995»; fila2[1] MISM «297»↔«280+86» |
| cte_edificacio | 2 | 0 | 2 |  | fila0[1] MISM «C-0»↔«C-1»; fila1[1] MISM «T-2»↔«T-1» |
| dpsh | 10 | 0 | 0 |  |  |
| sondeig | 4 | 0 | 1 |  | s-1[3] MISM «1/0»↔«1/--» |
| spt_ma | 3 | 0 | 2 |  | spt-1[3] MISM «58»↔«54»; spt-1[4] MISM «Graves incloses en matriu sorrenca d'aspectes carbonatats, i de coloracions clares»↔«Graves en matriu sorrenca» |
| mostra_lab | 4 | 1 | 0 |  | fila0[2] CLOS «Profunditat: -1.0 a -1.6»↔«Profunditat:  -1.0  a -1.60 m» |
| soil_levels | 1 | 1 | 0 |  | 1r[1] CLOS «Graves incloses en matriu sorrenca d'aspectes carbonatats, i de coloracions clares»↔«Graves en matriu sorrenca carbonatades» |
| permeabilitat | 1 | 2 | 0 |  | 1r[1] CLOS «10^-2 a 10^-4»↔«10 – 10-2»; 1r[2] CLOS «Graves incloses en matriu sorrenca d'aspectes carbonatats, i de coloracions clares»↔«Graves en matriu sorrenca carbonatades» |
| sulfats | 4 | 0 | 0 |  |  |
| sismica | 3 | 0 | 1 |  | 1[2] MISM «2.60»↔«2.45» |
| geotecnica | 1 | 1 | 5 |  | 1r[0] CLOS «1er nivell. Graves incloses en matriu sorrenca d'aspectes carbonatats, i de coloracions clares.»↔«1er nivell. Graves en matriu sorrenca»; 1r[1] MISM «23-R»↔«25-R»; 1r[2] MISM «58»↔«54»; 1r[4] MISM «0.05»↔«0.0»; 1r[5] MISM «35°»↔«38º»; 1r[6] MISM «467»↔«650» |

**bell-lloc/8b: 36 MATCH · 5 CLOSE · 14 MISMATCH · 0 files extra · 0 files absents → 75 % (M+C)/comparables**
