# Imatges «mateixa font que l'Eva» — vilanova/viaA

| # | ranura Eva | peu | nostre forat | estat | phash | ncc | psr | escala | direcció |
|--:|---|---|---|---|--:|--:|--:|--:|---|
| 1 | `fig_situacio` | Figura 1. Situación de la parcela en estudio. Fuente: ICGC,  | `fig_cadastre_image` | **MISMATCH** | 34 | 0.197 | 2.9 | 0.12 | nostra dins veritat |
| 2 | `fig_projecte` | Figura 2. Situación del emplazamiento de la vivienda proyect | — | **NO_DATA** | — | — | — | — | — |
| 3 | `foto_vista` | Fotografía 1. Detalle de la parcela de estudio. | `photo_site_image_1` | **MISMATCH** | 30 | 0.307 | 3.0 | 0.192 | veritat dins nostra |
| 4 | `fig_assaigs` | Figura 3. Situación de los ensayos realizados. | — | **NO_DATA** | — | — | — | — | — |
| 5 | `foto_dpsh` | Fotografía 1. Detalle del emplazamiento de la máquina realiz | `photo_dpsh_image` | **MATCH** | 0 | — | — | — | sencera |
| 7 | `fig_geologic` | Figura 5. Mapa geológico a escala 1:50.000 de la zona de est | — | **NO_DATA** | — | — | — | — | — |
| 8 | `foto_materials` | Fotografía 2. Detalle de los materiales recuperados del ensa | — | **NO_DATA** | — | — | — | — | — |
| 10 | `foto_materials` | Fotografía 3. Detalle de los materiales recuperados del ensa | `photo_materials_image` | **MATCH** | 0 | — | — | — | sencera |
| 11 | `fig_tall` | Figura 6. Corte de correlación de los materiales descritos e | `fig_correlation_image` | **CLOSE** | 30 | 0.792 | 5.1 | 0.79 | veritat dins nostra |

Totals: 2 M · 1 C · 2 X · 4 ND → 60 %; sobrants (nostres sense figura de l'Eva): 1 `photo_site_image_2`
