# Imatges «mateixa font que l'Eva» — castellar/t2

| # | ranura Eva | peu | nostre forat | estat | phash | ncc | psr | escala | direcció |
|--:|---|---|---|---|--:|--:|--:|--:|---|
| 1 | `fig_situacio` | Figura 1. Situació de la zona d’estudi, amb color taronja. ( | `fig_cadastre_image` | **MATCH** | 10 | — | — | — | sencera |
| 2 | `fig_assaigs` | Figura 2. Emplaçament de l’habitatge projecte i els assaigs  | `fig_main_plan_image` | **MATCH** | 6 | — | — | — | sencera |
| 3 | `foto_dpsh` | Fotografia 1. Vista de la màquina utilitzada en un dels assa | `photo_dpsh_image` | **MISMATCH** | 20 | 0.624 | 13.3 | 0.79 | veritat dins nostra |
| 4 | `foto_sondeig` | Fotografia 2. Vista de la màquina utilitzada per a la realit | `photo_sondeig_image` | **MATCH** | 0 | — | — | — | sencera |
| 6 | `fig_geologic` | Figura 4. Mapa geològic a escala 1:25.000 de la zona en estu | `fig_geological_image` | **MATCH** | 0 | — | — | — | sencera |
| 7 | `foto_materials` | Fotografia 4. Detall dels materials recuperats durant la rea | `photo_materials_image` | **MATCH** | 0 | — | — | — | sencera |
| 8 | `fig_tall` | Figura 5. Tall de correlació. | `fig_correlation_image` | **CLOSE** | 12 | 0.96 | 99.0 | 1.0 | nostra dins veritat |

Totals: 5 M · 1 C · 1 X · 0 ND → 86 %; sobrants (nostres sense figura de l'Eva): 0 
